key,source_language,target_language
feedback.useful,Hilfreich,Sûdewer
feedback.notUseful,Nicht hilfreich,Bêkêr (Ne-Sûdewer)
feedback.nothingFound,Es wurden leider keine passenden Ergebnisse gefunden.,Mixabin tu encameka guncan peyde nebû.
feedback.yourFeedback,Ihr Feedback...,'Feedback'a te…
feedback.informationNotFound,Nicht das Richtige gefunden?,"Gelo tiştê ku lê digeriyayî, nehat dîtin?"
feedback.wantedInformation,Welche Informationen fehlen hier?,Çi cûre zanyarî li vir tunene?
feedback.feedbackSent,Feedback abgeschickt,'Feedback' hat şandin
feedback.thanksMessage,"Vielen Dank für Ihr Feedback. Damit helfen Sie uns, unsere Inhalte und die {{appName}}-App zu verbessern. Wir würden uns über weiteres Feedback freuen.",Em ji 'Feedback'a te sipasdar in. Tu bi vî karê xwe alîkariya me dikî da ku em babetên xwe û Appa '{{appName}}'ê baştir bikin. Emê ji Feedback'ên zêdetir kêfxweş bibin.
feedback.close,Schließen,Girêdan
feedback.negativeRating,Diese Seite ist nicht hilfreich,Ev rûpel sûdmend nîne
feedback.positiveRating,Diese Seite ist hilfreich,Ev rûpel sûdmend e
intro.integreat,{{appName}},{{appName}}
intro.integreatDescription,{{appName}} ist Ihr digitaler Guide für Deutschland,{{appName}} rêbera te ya dîcîtal derbarê Almanyayê ye
intro.search,Suche,Lêgerîn
intro.searchDescription,Anhand von Schlagwörtern schnell die richtige Information finden,"Bi bikaranîna Peyvên Kilîtî, lêzanînên esseh û durust bilez peyde bike"
intro.languageChange,Sprachwechsel,Guhertina Ziman
intro.languageChangeDescription,Einfaches Umstellen der Sprache einzelner Seiten,Guhertina rihet a Ziman di kit bi kitê rûpelan da
intro.events,Veranstaltungen,Rûdan
intro.eventsDescription,Aktuelle Veranstaltungen und Termine in der Umgebung,Rûdanên niha û demên hevdîtinê li hawîrdor
intro.offers,Angebote,Xizmet
intro.offersDescription,"Jobsuche, Praktikasuche und mehr in der Umgebung","Lêgerîna li Şolê, Lêgerîna li Kursa Şola Ceribandinî û zêdetir li hawîrdorê"
intro.inquiryTitle,Einstellungen,Eyarkirin
intro.inquiryIntro,"Durch Klicken auf ""{{accept}}"" erlaube ich der {{appName}}-App, ...","Bi pelandina li ser""{{accept}}"" ez rê didim Appa '{{appName}}'ê, …"
intro.sentryTitle,App-Stabilität,Mayîndetiya App'ê
intro.sentryCondition,... mit dem automatischen Senden von Absturzberichten {{appName}} zu verbessern,"... bi şandina xwebixwe ya rapora xerabûnê, {{appName}}'ê baştir bike"
intro.pushNewsTitle,Push-Benachrichtigungen,Peyamên bilez
intro.pushNewsCondition,... mir Push-Benachrichtigungen zu den neuesten lokalen Nachrichten zu senden,"... peyamên bilez ên têkildarî nûçeyên xwecihî yên nû, sa min ra bê şandin"
intro.proposeCitiesTitle,Nahegelegene Orte,Cihên Nêzik
intro.proposeCitiesCondition,... mir mithilfe meines GPS-Standortes nahegelegene Orte vorzuschlagen,".... bi alîkariya Mekanbîna 'GPS'ê ya min, cihên nêzikî min bo min bê pêşniyarkirin"
intro.skip,Überspringen,Nepejirandin
intro.next,Weiter,Berdewam
intro.cancel,Abbrechen,Qutbûn
intro.save,Speichern,Xwedankirin
intro.customize,Anpassen,Eyarkirin
intro.decline,Ablehnen,Nepejirandin
intro.accept,Akzeptieren,Pejirandin
intro.privacyPolicy,Datenschutzerklärung,Daxuyaniya Parastina Daneyan
landing.searchCity,Ort suchen,Lêgerîna li Mekan
landing.nearbyPlaces,Orte in der Nähe,Cihên nêzik
landing.noNearbyPlaces,Keine Orte in der Nähe gefunden.,Tu cihek li vê nêzikatiyê nehat dîtin.
landing.alert,Hinweis,Rênîşandan
landing.locationError,"Um Orte in der Nähe anzeigen zu können, müssen Ortungsdienste aktiviert werden.",Jibo dîtina cihên nêzik divê xizmeta Mekanbînê were çalakkirin.
landing.noPermission,Standortzugriff erforderlich,
landing.loading,Bestimme Standort...,
landing.notAvailable,Standortbestimmung deaktiviert,
landing.timeout,Standortbestimmung fehlgeschlagen,
landing.refresh,Liste der Orte aktualisieren,
layout.imprintAndContact,Impressum und Kontakt,Lêzanînên Weşîner û Têkillî
layout.privacy,Datenschutz,Parastina daneyan
layout.offers,Angebote,Xizmet
layout.localInformation,Lokale Informationen,Zanyariyên xwecihî
layout.events,Veranstaltungen,Rûdan
layout.noEvents,Keine Veranstaltungen,Tu rûdanek tuneye
layout.news,Nachrichten,
layout.noLanguages,Nicht verfügbar in anderen Sprachen,Bi zimanên din tuneye
layout.noTranslation,Keine Übersetzung verfügbar,Werger tuneye
layout.search,Suchen,Lêgerîn
layout.changeLocation,Standort wechseln,Guhertina Cih
layout.changeLanguage,Sprache wechseln,Guhertina Ziman
layout.settings,Einstellungen,Eyarkirin
layout.share,Teilen,Parvekirin
layout.cancel,Abbrechen,Qutbûn
layout.shareMessage,Gerade gefunden: {{message}},Niha hat dîtin: {{message}}
layout.shareFailDefaultMessage,Das Teilen des Inhalts ist leider fehlgeschlagen.,Mixabin parvekirina babetên pêk nehat.
layout.disclaimer,Impressum,Lêzanînên Weşîner
news.news,Nachrichten,
news.newsAlternative,Neuigkeiten,
news.localNews,Lokale Nachrichten,
news.localNewsAlternative,Lokale Neuigkeiten,
news.local,Lokal,
news.readMore,Weiterlesen,
news.currentlyNoNews,Aktuell gibt es keine Nachrichten.,
news.currentlyNoNewsAlternative,Aktuell gibt es keine Neuigkeiten.,
offers.offers,Angebote,Xizmet
search.searchPlaceholder,Suche,
settings.sentryTitle,App-Stabilität,Mayîndetiya App'ê
settings.sentryDescription,Durch das automatische Senden von Absturzberichten die {{appName}}-App verbessern,"Bi şandina xwebixwe ya raporên xerabûnê, Appa '{{appName}}'ê baştir bike"
settings.pushNewsTitle,Push-Benachrichtigungen,Peyamên bilez
settings.pushNewsDescription,Push-Benachrichtigungen für die neuesten lokalen Nachrichten erhalten,Wergirtina peyamên bilez sa dawîn nûçeyên xwecihî yên nû
settings.proposeCitiesTitle,Nahegelegene Orte,Cihên Nêzik
settings.proposeCitiesDescription,Mithilfe des GPS-Standortes Vorschläge für nahegelegene Orte erhalten,"Bi bikaranîna Mekanbîna 'GPS'ê, pêşniyaran jibo mekanên nêzik werbigire"
settings.about,Über {{appName}},Bi rêya {{appName}}
settings.privacyPolicy,Datenschutzerklärung,Daxuyaniya Parastina Daneyan
settings.version,Version: {{version}},Versiyon: {{version}}
settings.openSourceLicenses,Open-Source-Lizenzen,Lîsansa Çavkanî-Vekirî
snackbar.grantPermission,Erlauben,Rêdan
snackbar.deactivateFeature,Feature deaktivieren,Neçalakkirina Taybetmendiyê
snackbar.locationPermissionMissing,Standortzugriff zum Vorschlagen von nahegelegenen Orten erforderlich,
snackbar.pushNotificationPermissionMissing,Berechtigungen zum Senden von Push-Benachrichtigungen erforderlich,
snackbar.deactivate,Deaktivieren,
snackbar.coronaMessage,"Aktuelle, wissenschaftliche Informationen finden Sie bei der Bundeszentrale für gesundheitliche Aufklärung.",
snackbar.coronaUrl,https://www.infektionsschutz.de/coronavirus/,
snackbar.learnMore,Mehr Infos,
snackbar.dismiss,Schließen,
sprungbrett.noOffersAvailable,Keine Angebote verfügbar,Tu xizmetek li ber dest nîne
wohnen.noOffersAvailable,Keine Angebote verfügbar.,Tu xizmetek li ber dest nîne.
wohnen.values.runningServices.heating,Heizung,Germahî
wohnen.values.runningServices.water,Wasser/Abwasser,Av/Rêjav
wohnen.values.runningServices.garbage,Müllabfuhr,Veguhestina Bermahîkan
wohnen.values.runningServices.chimney,Kaminkehrer,Motorxane
wohnen.values.runningServices.other,Sonstiges,Yên din
wohnen.values.additionalServices.garage,Garage/Stellplatz,Garaj / Parkîng
wohnen.values.additionalServices.other,Sonstiges,Yên din
wohnen.values.rooms.kitchen,Küche,Aşpêjxane
wohnen.values.rooms.bath,Bad,Hemam
wohnen.values.rooms.wc,WC,Destav
wohnen.values.rooms.child1,Kinderzimmer 1,Odeya Zarokan 1
wohnen.values.rooms.child2,Kinderzimmer 2,Odeya Zarokan 2
wohnen.values.rooms.child3,Kinderzimmer 3,Odeya Zarokan 3
wohnen.values.rooms.bed,Schlafzimmer,Odeya Razanê
wohnen.values.rooms.livingroom,Wohnzimmer,Odeya Rûniştinê
wohnen.values.rooms.hallway,Diele,Rêbihurk
wohnen.values.rooms.store,Abstellraum,Embar
wohnen.values.rooms.basement,Kellerraum,Jêrzemîn
wohnen.values.rooms.balcony,Balkon / Terrasse,Balkon/Tras (Terrasse)
