key,source_language,target_language
feedback.negativeComment,Was können wir besser machen?,چه چیزی را می توانیم بهتر کنیم؟
feedback.feedbackType,Wofür ist das Feedback?,بازخورد در چه زمینه ای است؟
feedback.isThisSiteUseful,Ist diese Seite hilfreich?,آیا این صفحه مفید است؟
feedback.useful,Hilfreich,مفید
feedback.notUseful,Nicht hilfreich,غیر مفید
feedback.nothingFound,Es wurden leider keine passenden Ergebnisse gefunden.,متاسفانه هیچ نتیجه مناسبی پیدا نشد.
feedback.yourFeedback,Ihr Feedback...,بازخورد شما...
feedback.informationNotFound,Nicht das Richtige gefunden?,آنچه را که جستجو می کردید پیدا نکردید؟
feedback.wantedInformation,Welche Informationen fehlen hier?,چه اطلاعاتی در اینجا موجود نیست؟
feedback.feedbackSent,Feedback abgeschickt,بازخورد ارسال شد
feedback.thanksMessage,"Vielen Dank für Ihr Feedback. Damit helfen Sie uns, unsere Inhalte und die {{appName}}-App zu verbessern. Wir würden uns über weiteres Feedback freuen.",از بازخورد شما سپاسگزاریم. شما با این کار به ما کمک می کنید تا مطالب خود و اپلیکیشن {{appName}} را بهبود بخشیم. از بازخوردهای بیشتر خوشحال خواهیم شد.
feedback.close,Schließen,بستن
feedback.negativeRating,Diese Seite ist nicht hilfreich,این صفحه مفید نیست
feedback.positiveRating,Diese Seite ist hilfreich,این صفحه مفید است
intro.integreat,{{appName}},{{appName}}
intro.integreatDescription,{{appName}} ist Ihr digitaler Guide für Deutschland,{{appName}}‏ راهنمای دیجیتالی شما در مورد آلمان است
intro.search,Suche,جستجو
intro.searchDescription,Anhand von Schlagwörtern schnell die richtige Information finden,با استفاده از کلمات کلیدی، اطلاعات صحیح را به سرعت پیدا کنید
intro.languageChange,Sprachwechsel,تغییر زبان
intro.languageChangeDescription,Einfaches Umstellen der Sprache einzelner Seiten,تغییر راحت زبان در تک تک صفحات
intro.events,Veranstaltungen,رویدادها
intro.eventsDescription,Aktuelle Veranstaltungen und Termine in der Umgebung,رویدادهای فعلی و وقت های ملاقات در محیط اطراف
intro.offers,Angebote,خدمات
intro.offersDescription,"Jobsuche, Praktikasuche und mehr in der Umgebung",جستجوی کار، جستجوی کارورزی و بیشتر در محیط اطراف
intro.inquiryTitle,Einstellungen,تنظیمات
intro.inquiryIntro,"Durch Klicken auf ""{{accept}}"" erlaube ich der {{appName}}-App, ...","با کلیک بر روی ""{{accept}}"" به اپلیکیشن {{appName}} اجازه می دهم،..."
intro.sentryTitle,App-Stabilität,پایداری اپلیکیشن
intro.sentryCondition,... mit dem automatischen Senden von Absturzberichten {{appName}} zu verbessern,... با ارسال خودکار گزارش خرابی، {{appName}} را بهبود یابد
intro.pushNewsTitle,Push-Benachrichtigungen,پیام های فوری
intro.pushNewsCondition,... mir Push-Benachrichtigungen zu den neuesten lokalen Nachrichten zu senden,... پیام های فوری مربوط به اخبار محلی جدید، برای من ارسال شود
intro.proposeCitiesTitle,Nahegelegene Orte,مکان های نزدیک
intro.proposeCitiesCondition,... mir mithilfe meines GPS-Standortes nahegelegene Orte vorzuschlagen,... با کمک مکان یاب GPS من، مکان های نزدیک به من پیشنهاد شود
intro.skip,Überspringen,رد شدن
intro.next,Weiter,ادامه
intro.cancel,Abbrechen,قطع
intro.save,Speichern,ذخیره
intro.customize,Anpassen,تنظیم کردن
intro.decline,Ablehnen,رد کردن
intro.accept,Akzeptieren,پذیرش
intro.privacyPolicy,Datenschutzerklärung,بیانیه حفاظت از داده ها
landing.searchCity,Ort suchen,جستجوی مکان
landing.nearbyPlaces,Orte in der Nähe,مکان های نزدیک
landing.noNearbyPlaces,Keine Orte in der Nähe gefunden.,هیچ مکانی در این نزدیکی یافت نشد.
landing.alert,Hinweis,راهنمایی
landing.locationError,"Um Orte in der Nähe anzeigen zu können, müssen Ortungsdienste aktiviert werden.",برای مشاهده مکان های نزدیک باید خدمات موقعیت مکانی فعال شوند.
landing.noPermission,Standortzugriff erforderlich,
landing.loading,Bestimme Standort...,
landing.notAvailable,Standortbestimmung deaktiviert,
landing.timeout,Standortbestimmung fehlgeschlagen,
landing.refresh,Liste der Orte aktualisieren,
layout.imprintAndContact,Impressum und Kontakt,اطلاعات ناشر و تماس
layout.privacy,Datenschutz,حفاظت از داده ها
layout.offers,Angebote,خدمات
layout.localInformation,Lokale Informationen,اطلاعات محلی
layout.events,Veranstaltungen,رویدادها
layout.noEvents,Keine Veranstaltungen,رویدادی وجود ندارد
layout.news,Nachrichten,
layout.noLanguages,Nicht verfügbar in anderen Sprachen,به زبان های دیگر موجود نیست
layout.noTranslation,Keine Übersetzung verfügbar,ترجمه موجود نیست
layout.search,Suchen,جستجو
layout.changeLocation,Standort wechseln,تغییر محل
layout.changeLanguage,Sprache wechseln,تغییر زبان
layout.settings,Einstellungen,تنظیمات
layout.share,Teilen,به اشتراک گذاری
layout.cancel,Abbrechen,قطع
layout.shareMessage,Gerade gefunden: {{message}},اکنون یافت شد: {{message}}
layout.shareFailDefaultMessage,Das Teilen des Inhalts ist leider fehlgeschlagen.,متأسفانه به اشتراک گذاشتن محتوا انجام نشد.
layout.disclaimer,Impressum,اطلاعات ناشر
news.news,Nachrichten,
news.newsAlternative,Neuigkeiten,
news.localNews,Lokale Nachrichten,
news.localNewsAlternative,Lokale Neuigkeiten,
news.local,Lokal,
news.readMore,Weiterlesen,
news.currentlyNoNews,Aktuell gibt es keine Nachrichten.,
news.currentlyNoNewsAlternative,Aktuell gibt es keine Neuigkeiten.,
offers.offers,Angebote,خدمات
search.searchPlaceholder,Suche,
settings.sentryTitle,App-Stabilität,پایداری اپلیکیشن
settings.sentryDescription,Durch das automatische Senden von Absturzberichten die {{appName}}-App verbessern,با ارسال خودکار گزارش های خرابی، اپلیکیشن‎ {{appName}} را بهبود بخشید
settings.pushNewsTitle,Push-Benachrichtigungen,پیام های فوری
settings.pushNewsDescription,Push-Benachrichtigungen für die neuesten lokalen Nachrichten erhalten,دریافت پیام های فوری برای آخرین اخبار محلی جدید
settings.proposeCitiesTitle,Nahegelegene Orte,مکان های نزدیک
settings.proposeCitiesDescription,Mithilfe des GPS-Standortes Vorschläge für nahegelegene Orte erhalten,با استفاده از موقعیت GPS، پیشنهادات برای مکان های نزدیک را دریافت کنید
settings.about,Über {{appName}},
settings.privacyPolicy,Datenschutzerklärung,بیانیه حفاظت از داده ها
settings.version,Version: {{version}},نسخه: {{version}}
settings.openSourceLicenses,Open-Source-Lizenzen,لیسانس منبع باز
snackbar.grantPermission,Erlauben,اجازه دادن
snackbar.deactivateFeature,Feature deaktivieren,غیرفعال کردن ویژگی
snackbar.locationPermissionMissing,Standortzugriff zum Vorschlagen von nahegelegenen Orten erforderlich,
snackbar.pushNotificationPermissionMissing,Berechtigungen zum Senden von Push-Benachrichtigungen erforderlich,
snackbar.deactivate,Deaktivieren,
snackbar.coronaMessage,"Aktuelle, wissenschaftliche Informationen finden Sie bei der Bundeszentrale für gesundheitliche Aufklärung.",
snackbar.coronaUrl,https://www.infektionsschutz.de/coronavirus/,
snackbar.learnMore,Mehr Infos,
snackbar.dismiss,Schließen,
sprungbrett.noOffersAvailable,Keine Angebote verfügbar,هیچ خدماتی در دسترس نیست
wohnen.noOffersAvailable,Keine Angebote verfügbar.,هیچ خدماتی در دسترس نیست.
wohnen.values.runningServices.heating,Heizung,گرمایش
wohnen.values.runningServices.water,Wasser/Abwasser,آب/فاضلاب
wohnen.values.runningServices.garbage,Müllabfuhr,حمل زباله
wohnen.values.runningServices.chimney,Kaminkehrer,موتورخانه
wohnen.values.runningServices.other,Sonstiges,سایر
wohnen.values.additionalServices.garage,Garage/Stellplatz,گاراژ/پارکینگ
wohnen.values.additionalServices.other,Sonstiges,سایر
wohnen.values.rooms.kitchen,Küche,آشپزخانه
wohnen.values.rooms.bath,Bad,حمام
wohnen.values.rooms.wc,WC,توالت
wohnen.values.rooms.child1,Kinderzimmer 1,اتاق کودکان 1
wohnen.values.rooms.child2,Kinderzimmer 2,اتاق کودکان 2
wohnen.values.rooms.child3,Kinderzimmer 3,اتاق کودکان 3
wohnen.values.rooms.bed,Schlafzimmer,اتاق خواب
wohnen.values.rooms.livingroom,Wohnzimmer,اتاق نشیمن
wohnen.values.rooms.hallway,Diele,راهرو
wohnen.values.rooms.store,Abstellraum,انباری
wohnen.values.rooms.basement,Kellerraum,زیرزمین
wohnen.values.rooms.balcony,Balkon / Terrasse,بالکن/تراس
